category_id:string:ID
"情色"
"恐怖"
"武侠"
"惊栗"
"古装"
"冒险"
"战争"
"奇幻"
"传记"
"历史"
"西部"
"犯罪"
"儿童"
"悬疑"
"喜剧"
"音乐"
"运动"
"剧情"
"动作"
"家庭"
"爱情"
"灾难"
"鬼怪"
"歌舞"
"悬念"
"科幻"
"荒诞"
"同性"
"惊悚"
"黑色电影"
"动画"
