movie_id:string:ID,title:string,district:string,composer:string,showtime:string
"25794212","分歧者2：绝地反击","United States of America_美国","布莱恩·达菲尔德,阿齐瓦·高斯曼,马克·鲍姆贝克","2015.0"
"21442760","最长的旅程","United States of America_美国","尼古拉斯·斯帕克斯,Craig Bolotin","2015.0"
"3104205","阿罗哈","United States of America_美国","卡梅伦·克罗","2015.0"
"25742299","暴疯语","China_中国大陆,China_香港","李光耀,吕冠南,尔冬升","2015.0"
"21263666","美国狙击手","United States of America_美国","杰森·迪恩·霍尔","2014.0"
"25900851","味园Universe","Japan_日本","菅野友惠","2015.0"
"25774050","寄生兽","Japan_日本","古泽良太,山崎贵,岩明均","2014.0"
"26314206","中国之旅","France_法国","Zoltán Mayer","2015.0"
"10827341","疯狂外星人","United States of America_美国","汤姆·J·阿瑟尔,马特·恩贝尔,亚当·雷克斯","2015.0"
"24859095","控制游戏","United States of America_美国","Patricia Beauchamp,Joe Gossett","2015.0"
"6846893","超能查派","United States of America_美国,Mexico_墨西哥,South Africa_南非","尼尔·布洛姆坎普,特丽·塔歇尔","2015.0"
"25799475","所罗门的伪证前篇：事件","Japan_日本","宫部美雪,真边克彦","2015.0"
"1889243","星际穿越","United States of America_美国,United Kingdom_英国,Canada_加拿大","乔纳森·诺兰,克里斯托弗·诺兰","2014.0"
"25823833","天将雄师","China_中国大陆,China_香港","李仁港","2015.0"
"25811357","冲锋车","China_香港,China_中国大陆","刘浩良","2015.0"
"2973079","霍比特人3：五军之战","United States of America_美国,New Zealand_新西兰","弗兰·威尔士,菲利帕·鲍恩斯,彼得·杰克逊,吉尔莫·德尔·托罗,J·R·R·托尔金","2015.0"
"10792633","金衣女人","United States of America_美国,United Kingdom_英国","艾历克西斯·凯伊·坎贝尔,E. Randol Schoenberg,玛丽亚·阿尔特曼","2015.0"
"10754780","无人引航","United States of America_美国","Casey Twenter,Jeff Robison,威廉姆·H·梅西","2014.0"
"10440138","侏罗纪世界","United States of America_美国,China_中国大陆","里克·杰法,阿曼达·斯尔沃,德里克·康纳利,科林·特雷沃罗,迈克尔·克莱顿","2015.0"
"2998373","帕丁顿熊","United Kingdom_英国,France_法国","保罗·金,哈密斯·麦克尔,迈克尔·邦德","2015.0"
"11026735","超能陆战队","United States of America_美国","乔丹·罗伯茨,丹尼尔·吉尔森,罗伯特·L·贝尔德","2015.0"
"24987018","赤道","China_香港","梁乐民,陆剑青","2015.0"
"25858759","有一个地方只有我们知道","China_中国大陆","王朔,徐静蕾,十庆,王芸,赵梦,梁青儿,司徒芃丽","2015.0"
"25800938","男人与鸡","Denmark_丹麦","安诺斯·托马斯·延森","2015.0"
"21349734","博物馆奇妙夜3","United States of America_美国,United Kingdom_英国","大卫·盖恩,迈克尔·汉德尔曼,马克·弗里德曼,托马斯·列农,罗伯特·本·加兰特","2015.0"
"2363942","44号孩子","United States of America_美国","理查德·普莱斯,汤姆·罗伯·史密斯","2015.0"
"25872931","万物生长","China_中国大陆","李玉,魏君子,许少飞,冯唐","2015.0"
"21767183","0.5毫米","Japan_日本","安藤桃子","2014.0"
"26279166","鸭王","China_香港","区焯文","2015.0"
"24753810","战狼","China_中国大陆","吴京,刘毅,董群,高岩","2015.0"
"5153254","爱你，罗茜","Germany_德国,United Kingdom_英国","西西莉亚·埃亨,朱丽叶·托希迪","2014.0"
"24307637","江南1970","South Korea_韩国","庾河","2015.0"
"2325873","第七子：降魔之战","United Kingdom_英国,United States of America_美国,Canada_加拿大,China_中国大陆","查尔斯·里维特,斯蒂文·奈特,麦特‧格林伯格,约瑟夫·德拉尼","2015.0"
"25898213","军犬麦克斯","United States of America_美国","鲍兹·亚金,谢尔登 莱提奇","2015.0"
"6126442","一步之遥","China_中国大陆,China_香港","姜文,郭俊立,王朔,廖一梅,述平,阎云飞,孙悦,孙睿,于彦琳","2014.0"
"25821585","生活残骸","United States of America_美国","艾米·舒默","2015.0"
"25861695","海月姬","Japan_日本","大野敏哉","2014.0"
"25834945","雏妓","China_香港","李敏","2014.0"
"6875263","灰姑娘","United States of America_美国,United Kingdom_英国","克里斯·韦兹","2015.0"
"25908042","横冲直撞好莱坞","China_中国大陆,China_香港,United States of America_美国","布莱斯·贝克汉姆,大卫·菲卡斯,林诣彬,菲利普·W·钟,阿尔弗雷多·博泰洛","2015.0"
"21345845","涉足荒野","United States of America_美国","尼克·霍恩比,Cheryl Strayed","2014.0"
"25945408","所罗门的伪证后篇：审判","Japan_日本","宫部美雪,真边克彦","2015.0"
"25881780","命中注定","China_中国大陆,China_香港,United States of America_美国","赵硕,黛安·德雷克","2015.0"
"26259634","何以笙箫默","China_中国大陆","莫菲勒,顾漫","2015.0"
"11540651","许三观","South Korea_韩国","金柱浩,河正宇,余华","2015.0"
"24883815","午夜邂逅","United States of America_美国","罗纳德·巴斯,Chris Shafer","2014.0"
"24872023","贵族大盗","United States of America_美国,United Kingdom_英国","艾里克·阿伦森,卡里尔·邦飞利","2015.0"
"10807909","智取威虎山","China_中国大陆,China_香港","黄建新,李杨,徐克,吴兵,董哲,林启安","2014.0"
"5154799","木星上行","United States of America_美国,United Kingdom_英国","安迪·沃卓斯基,拉娜·沃卓斯基","2015.0"
"25780584","我是女王","China_中国大陆","王安安,顾奕,伊能静","2015.0"
"25947154","爱的那点性事","Australia_澳大利亚","约什·劳森","2014.0"
"25731554","西部慢调","United Kingdom_英国,New Zealand_新西兰","约翰·麦卡伦","2015.0"
"25746414","暴走神探","China_中国大陆,China_香港","方令正,罗卓瑶","2015.0"
"25890082","客人","South Korea_韩国","","2015.0"
"24713882","完美音调2","United States of America_美国","凯·加农,米奇·拉普金","2015.0"
"6533054","饥饿游戏3：嘲笑鸟(上)","United States of America_美国","丹尼·斯特朗,彼得·克莱格","2015.0"
"25862355","二十","South Korea_韩国","李炳宪","2015.0"
"25835293","失孤","China_中国大陆,China_香港,Malaysia_马来西亚","彭三源","2015.0"
"10548265","坚不可摧","United States of America_美国","乔尔·科恩,伊桑·科恩,理查德·拉·格拉文斯,威廉姆·尼克尔森,劳拉·希伦布兰德","2015.0"
"26184109","测试","Russia_俄罗斯","亚历山大·科特","2014.0"
"25938856","七日地狱","United States of America_美国","Murray Miller","2015.0"
"4911596","明星伙伴","United States of America_美国","道格·艾林,罗伯·魏斯","2015.0"
"25713420","钟馗伏魔：雪妖魔灵","China_中国大陆,China_香港,United States of America_美国","赵天宇,秦溱,沈诗棋,李洁,金镭,张唤唤","2015.0"
"3078390","太平轮(上)","China_中国大陆,China_香港","王蕙玲,苏照彬,陈静慧","2014.0"
"23712710","少数意见","South Korea_韩国","","2015.0"
"23769147","爱情限时恋未尽","United States of America_美国","维克多·列文","2015.0"
"25805054","十万个冷笑话","China_中国大陆","卢恒宇,李姝洁,寒舞","2014.0"
"11808948","海绵宝宝历险记：海绵出水","United States of America_美国","格伦·伯杰,乔纳森·阿里斯,史蒂芬·海伦伯格","2015.0"
"23331914","狂怒","United Kingdom_英国,China_中国大陆,United States of America_美国","大卫·阿耶","2014.0"
"25919385","长寿商会","South Korea_韩国","","2015.0"
"20277632","飓风营救3","France_法国,United States of America_美国","吕克·贝松,罗伯特·马克·卡门","2015.0"
"25777512","要听神明的话","Japan_日本","八津弘幸","2014.0"
"25957011","缄默的迷宫","Germany_德国","Giulio Ricciarelli,Elisabeth Bartel","2014.0"
"25905746","通灵之六世古宅","China_中国大陆","彭发,黄浩华,李永勤,陈鹏振","2015.0"
"24743709","北京纽约","China_中国大陆,United Kingdom_英国,United States of America_美国","李晓雨","2015.0"
"24695390","我们假期做了什么","United Kingdom_英国","安迪·汉密尔顿,盖·简金","2014.0"
"3012013","伸冤人","United States of America_美国","理查德·温克,迈克尔·斯隆,Richard Lindheim","2014.0"
"20277433","焦点","United States of America_美国","格伦·费卡拉,约翰·里夸","2015.0"
"25755608","新女友","France_法国","弗朗索瓦·欧容","2014.0"
"25806476","鬼牌游戏","Japan_日本","柳広司(原作)","2015.0"
"3006769","大眼睛","United States of America_美国","斯科特·亚历山大,拉里·卡拉斯泽斯基","2014.0"
"21349301","小混乱","United Kingdom_英国","Allison Deegan","2014.0"
"25884416","麦兜我和我妈妈","China_香港,China_中国大陆","谢立文","2014.0"
"25761564","珍妮的婚礼","United States of America_美国","Mary Agnes Donoghue","2015.0"
