director_id:string:START_ID,:START_LABEL,movie_id:string:END_ID,:END_LABEL,:TYPE,year:string
"吴京","director","24753810","movie","DIRECT","2015.0"
"克利斯汀·迪特","director","5153254","movie","DIRECT","2014.0"
"庾河","director","24307637","movie","DIRECT","2015.0"
"谢尔盖·波德罗夫","director","2325873","movie","DIRECT","2015.0"
"鲍兹·亚金","director","25898213","movie","DIRECT","2015.0"
"姜文","director","6126442","movie","DIRECT","2014.0"
"贾德·阿帕图","director","25821585","movie","DIRECT","2015.0"
"川村泰祐","director","25861695","movie","DIRECT","2014.0"
"邱礼涛","director","25834945","movie","DIRECT","2014.0"
"肯尼思·布拉纳","director","6875263","movie","DIRECT","2015.0"
"蒂姆·肯德尔","director","25908042","movie","DIRECT","2015.0"
"让-马克·瓦雷","director","21345845","movie","DIRECT","2014.0"
"成岛出","director","25945408","movie","DIRECT","2015.0"
"张皓","director","25881780","movie","DIRECT","2015.0"
"杨文军 ","director","26259634","movie","DIRECT","2015.0"
" 黄斌","director","26259634","movie","DIRECT","2015.0"
"河正宇","director","11540651","movie","DIRECT","2015.0"
"克里斯·埃文斯","director","24883815","movie","DIRECT","2014.0"
"大卫·凯普","director","24872023","movie","DIRECT","2015.0"
"徐克","director","10807909","movie","DIRECT","2014.0"
"安迪·沃卓斯基 ","director","5154799","movie","DIRECT","2015.0"
" 拉娜·沃卓斯基","director","5154799","movie","DIRECT","2015.0"
"伊能静","director","25780584","movie","DIRECT","2015.0"
"约什·劳森","director","25947154","movie","DIRECT","2014.0"
"约翰·麦卡伦","director","25731554","movie","DIRECT","2015.0"
"罗卓瑶","director","25746414","movie","DIRECT","2015.0"
"Kim Kwang-tae","director","25890082","movie","DIRECT","2015.0"
"伊丽莎白·班克斯","director","24713882","movie","DIRECT","2015.0"
"弗朗西斯·劳伦斯","director","6533054","movie","DIRECT","2015.0"
"李炳宪","director","25862355","movie","DIRECT","2015.0"
"彭三源","director","25835293","movie","DIRECT","2015.0"
"安吉丽娜·朱莉","director","10548265","movie","DIRECT","2015.0"
"亚历山大·科特","director","26184109","movie","DIRECT","2014.0"
"Jake Szymanski","director","25938856","movie","DIRECT","2015.0"
"道格·艾林","director","4911596","movie","DIRECT","2015.0"
"鲍德熹 ","director","25713420","movie","DIRECT","2015.0"
" 赵天宇","director","25713420","movie","DIRECT","2015.0"
"吴宇森","director","3078390","movie","DIRECT","2014.0"
"金成宰","director","23712710","movie","DIRECT","2015.0"
"维克多·列文","director","23769147","movie","DIRECT","2015.0"
"卢恒宇 ","director","25805054","movie","DIRECT","2014.0"
" 李姝洁","director","25805054","movie","DIRECT","2014.0"
"Paul Tibbitt","director","11808948","movie","DIRECT","2015.0"
"大卫·阿耶","director","23331914","movie","DIRECT","2014.0"
"姜帝圭","director","25919385","movie","DIRECT","2015.0"
"奥利维尔·米加顿","director","20277632","movie","DIRECT","2015.0"
"三池崇史","director","25777512","movie","DIRECT","2014.0"
"Giulio Ricciarelli","director","25957011","movie","DIRECT","2014.0"
"彭发","director","25905746","movie","DIRECT","2015.0"
"李晓雨","director","24743709","movie","DIRECT","2015.0"
