director_id:string:ID
"d艾伦·J·帕库拉"
"d笕昌也"
"d克劳德·夏布洛尔"
"d孙英胜"
"d吉娜·普林斯-拜斯伍德"
"d藤田容介"
"d 维莱莉·法瑞斯"
"d张幼珍"
"dS·尚卡尔"
"d金镇雅"
"d陈戈 "
"d约瑟夫·L·曼凯维奇"
"d嘉柏·丘波"
"d金容华"
"d 保罗·奥斯特"
"d路易斯·莱特里尔"
"d 斯蒂芬·圣·莱杰"
"d三木孝浩"
"d约翰·麦登"
"d蒂姆·约翰逊"
"d吉列尔莫·莫拉莱斯"
"d托尼·凯耶"
"d彼得·韦柏"
"d弗兰科·皮亚维奥利"
"d朝原雄三"
"d肯·洛奇"
"d赵德胤"
"d 钟澍佳"
"d埃里克·布雷斯 "
"d沃尔夫冈·彼德森"
"d亚历山德拉·阿斯提耶尔"
"d科斯汀·谢里丹"
"d林顺礼"
"d法兰提塞·维拉席"
"d荒牧伸志(Shinji Aramaki)"
"dMary Agnes Donoghue"
"dJim O'Brien"
"d Gregg Hale "
"d斯科特·查尔斯·斯图瓦特"
"d雅克·特纳"
"dSimon Shore"
"d朱利叶斯·艾弗里"
"d王维明"
"d达伦·林恩·鲍斯曼"
"d约翰·麦克诺顿"
"d孔玟燕"
"d佐藤佐吉"
"d鹤田法男 (Norio Tsuruta)"
"d康佑硕"
"d 金泰勋 "
"d大卫·罗伯特·米切尔"
"d依莱姆·克里莫夫"
"dVincent Morisset"
"d洪锡宰"
"d金炳坤"
"d朴大荣"
"d克劳德·贝里"
"dAlfred Sole"
"d田中光敏"
"d艾特·迪·彭吉云"
"d马俪文"
"d马库斯·邓斯坦"
"dRustem Abdrashitov"
"d王岳伦"
"d何炅"
"d梁允豪"
"d金郑勋"
"d野村哲也 "
"d高田雅博"
"d陈嘉上"
"d大卫·R·艾里斯"
"d白云学"
"d严定宪 "
"dJeff Wadlow"
"d凯文·格劳特"
"dWilliam Malone"
"d安彦良和 "
"dMark Mylod"
"d塔西姆·辛"
"d杰茜·尼尔森"
"d安东尼·阿斯奎斯 "
"d萨姆·门德斯"
"d孔正植"
"d李焕庆"
"d藤井謙二郎"
"d Frank O'Connor "
